generations	frequency	coverage	replicate
12	0.0021	3353.17	R1
24	0.00352	1986.5	R1
36	0.00879	2745.78	R1
48	0.01209	8556	R1
60	0.01551	10796.8	R1
12	0.0008	6216.25	R2
24	0.00279	9385	R2
36	0.00202	5512.6	R2
48	0.00286	6713.57	R2
60	0.00125	11189.83	R2
72	0.00372	5644.5	R6
84	0.00239	10841.2	R6
108	0.00082	12082.5	R6
156	0	5350	R6
240	0	5400	R6
318	0	5427	R6
72	0.02025	9981	R7
84	0.00576	11118.86	R7
108	0.00166	10282.4	R7
156	0.00148	14208	R7
240	0.00151	12558	R7
318	0.00132	10633	R7
